id,questionusageid,slot,behaviour,questionid,variant,maxmark,minfraction,maxfraction,flagged,questionsummary,rightanswer,responsesummary,timemodified,category,parent,name,questiontext,questiontextformat,generalfeedback,generalfeedbackformat,defaultmark,penalty,qtype,length,stamp,version,hidden,timecreated,createdby,modifiedby,idnumber
28,1,1,deferredfeedback,28,1,1.0000000,0.0000000,1.0000000,0,"Check Disk (chkdsk) is a command run utility that is used on DOS and Microsoft Windows-based systems to check the file system, Linux has a similar command, what is it?
: chkdsk
; gparted
; Fsck
; fdisk
","fdisk
",,1602696779,11,0,Q28,"<p><span style=""font-size:10pt"">Check Disk (chkdsk)</span><span style=""font-size:10pt""> </span><span style=""font-size:10pt"">is a command run utility that is used on DOS and Microsoft Windows-based systems to check the file system</span><span style=""font-size:10pt"">, Linux has a similar command, what is it?</span></p>",1,"<p><span style=""font-size:10pt"">The system utility fsck (file system consistency check) is a tool for checking the consistency of a file system in Unix and Unix-like operating systems, such as Linux, macOS, and FreeBSD. A similar command, CHKDSK, exists in Microsoft Windows and (its ancestor) MS-DOS</span><span style=""font-size:10pt"">.</span></p><p> </p><p><span style=""font-size:10pt"">The other options listed are valid Linux commands and do relate to file systems, most specifically with the creation and management of partitions. </span><span style=""font-size:10pt"">Gparted</span><span style=""font-size:10pt""> can be used on both Windows and Linux. </span></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+mVFoAt,assessment.accelerate-people.co.uk+201014173259+aHbPZq,0,1602696779,2,2,
1,1,2,deferredfeedback,1,1,1.0000000,0.0000000,1.0000000,0,"Which of these is NOT a COMMON type of record you would keep in your computer maintenance system
: Department / location
; System ID (/serial number)
; Software version number / release candidate
; Purpose of maintenance activity
","Software version number / release candidate
",,1602696778,11,0,Q1,"<p><span style=""font-size:10pt"">Which of these is NOT a </span><strong><span style=""font-size:10pt"">common</span></strong><span style=""font-size:10pt""> type of record you </span><span style=""font-size:10pt"">would</span><span style=""font-size:10pt""> keep in your computer maintenance system</span></p>",1,"<p><span style=""font-size:10pt"">Software information may be stored but is not a common item to be recorded. </span></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173258+i9pZEm,assessment.accelerate-people.co.uk+201014173258+wPEOmO,0,1602696778,2,2,
10,1,3,deferredfeedback,10,1,1.0000000,0.0000000,1.0000000,0,"Consider the following CIDR notations and their correspondong subnet masks, one of these does not match, which is it?
: 255.0.0.0 / 24
; 255.255.255.255 / 32
; 255.255.0.0 / 16
","255.0.0.0 / 24
",,1602696779,11,0,Q10,"<p><span style=""font-size:10pt"">Consider the following CIDR notations and their correspondong subnet masks, one of these does not match, which is it?</span></p>",1,"<p><span style=""font-size:10pt"">Please review the table here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9104""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9104</span></a><span style=""font-size:10pt""> </span></p><p><span style=""font-size:10pt"">The CIDR is essentially the number of 1’s used to make the address, so 255 is 8 bits of 1, so each 255 octet is worth 8. 255 = 8, 255.255 = 16 and so on. </span></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+WvU7ay,assessment.accelerate-people.co.uk+201014173259+ERgvCO,0,1602696779,2,2,
11,1,4,deferredfeedback,11,1,1.0000000,0.0000000,1.0000000,0,"DNS (Domain Name System) usees what port?
: 53
; 23
; 67
; 25
","53
",,1602696779,11,0,Q11,"<p><span style=""font-size:10pt"">DNS (Domain Name System) usees what port?</span></p>",1,"<p><span style=""font-size:10pt"">DNS is port 53, more ports can be found here </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9115""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9115</span></a><span style=""font-size:10pt""> </span></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+IZa4S0,assessment.accelerate-people.co.uk+201014173259+tEIZrG,0,1602696779,2,2,
12,1,5,deferredfeedback,12,1,1.0000000,0.0000000,1.0000000,0,"How many bits long are IPv4 and IPv6 addresses?
: IPv4 is 64 bit, IPv6 is 128 bit
; IPv4 is 32 bit, IPv6 is 128 bit
; IPv4 is 32 bit, IPv6 is 64 bit
; IPv4 is 32 bit, IPv6 is 256 bit
","IPv4 is 32 bit, IPv6 is 128 bit
",,1602696779,11,0,Q12,"<p><span style=""font-size:10pt"">How many bits long are IPv4 and IPv6 addresses?</span></p>",1,"<p><span style=""font-size:10pt"">IPv4 is 32 bit, IPv6 is 128 bit</span><span style=""font-size:10pt"">, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9105""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9105</span></a><span style=""font-size:10pt""> </span></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+kRFNSi,assessment.accelerate-people.co.uk+201014173259+kIZVFB,0,1602696779,2,2,
13,1,6,deferredfeedback,13,1,1.0000000,0.0000000,1.0000000,0,"What type of numbering system does IPv6 use when written in human readable format
: Hexadecimal
; Denary
; Binary
; Decimal
","Hexadecimal
",,1602696779,11,0,Q13,"<p><span style=""font-size:10pt"">What type of numbering system does IPv6 use when written in human readable format</span></p>",1,"<p><span style=""font-size:10pt"">IPv4, each octet consists of a decimal number ranging from 0 to 255. These numbers are typically separated by periods. In IPv6, addresses are expressed as a series of eight 4-character hexadecimal numbers, which represent 16 bits each (for a total of 128 bits). </span></p><p><span style=""font-size:10pt"">Please review notes here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9105""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9105</span></a><span style=""font-size:10pt""> </span></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+V4Hzpx,assessment.accelerate-people.co.uk+201014173259+PusqGG,0,1602696779,2,2,
14,1,7,deferredfeedback,14,1,1.0000000,0.0000000,1.0000000,0,"What is 2 to the power of 6? (This is the 7th binary bit)
: 64
; 32
; 128
; 12
","64
",,1602696779,11,0,Q14,"<p><span style=""font-size:10pt"">What is 2 to the power of 6? (This is the 7</span><span style=""font-size:10pt""><sup>th</sup></span><span style=""font-size:10pt""> binary bit)</span></p>",1,"<p><span style=""font-size:10pt"">2x2x2x2x2x2 = 64. Please review the notes here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9111""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9111</span></a><span style=""font-size:10pt""> </span></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+uF9kIs,assessment.accelerate-people.co.uk+201014173259+6etmUb,0,1602696779,2,2,
15,1,8,deferredfeedback,15,1,1.0000000,0.0000000,1.0000000,0,"Convert 234 into 8 bit binary.
: 011101010
; 010111111
; 010101010
; 111101010
","011101010
",,1602696779,11,0,Q15,"<p><span style=""font-size:10pt"">Convert 234 into 8 bit binary. </span></p>",1,"<p><span style=""font-size:10pt"">Please use the calculator here </span><a href=""http://easyonlineconverter.com/converters/bitwise-calculator.html""><span class=""Hyperlink-H"" style=""font-size:10pt"">http://easyonlineconverter.com/converters/bitwise-calculator.html</span></a><span style=""font-size:10pt""> </span></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+CRJsZ5,assessment.accelerate-people.co.uk+201014173259+9OnI7K,0,1602696779,2,2,
16,1,9,deferredfeedback,16,1,1.0000000,0.0000000,1.0000000,0,"Calculate 10110011 AND 11101110, then convert it to decimal.
: 160
; 158
; 156
; 162
","162
",,1602696779,11,0,Q16,"<p><span style=""font-size:10pt"">Calculate 10110011 AND 11101110, then convert it to decimal.</span></p>",1,"<p><span style=""font-size:10pt"">10100010</span><span style=""font-size:10pt""> is the binary, remember AND requires both bits to be on. </span><span style=""font-size:10pt"">10100010</span><span style=""font-size:10pt""> in binary is 162. Please use the calculator here </span><a href=""http://easyonlineconverter.com/converters/bitwise-calculator.html""><span class=""Hyperlink-H"" style=""font-size:10pt"">http://easyonlineconverter.com/converters/bitwise-calculator.html</span></a></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+VEi1Ls,assessment.accelerate-people.co.uk+201014173259+TPoqqA,0,1602696779,2,2,
17,1,10,deferredfeedback,17,1,1.0000000,0.0000000,1.0000000,0,"Calculate 11110000 OR 00001111 and convert to decimal. Hint: You shouldn’t need a calculator for this one (but it’s OK if you do use one)
: 128
; 127
; 255
; 256
","255
",,1602696779,11,0,Q17,"<p><span style=""font-size:10pt"">Calculate 11110000 OR 00001111 and convert to decimal. Hint: You shouldn’t need a calculator for this one (but it’s OK if you do use one)</span></p>",1,"<p><span style=""font-size:10pt"">OR is either bit, so in this example we end up with 11111111, which we should know is 255 as this is the sum of all the 8 bits. Please use the calculator here </span><a href=""http://easyonlineconverter.com/converters/bitwise-calculator.html""><span class=""Hyperlink-H"" style=""font-size:10pt"">http://easyonlineconverter.com/converters/bitwise-calculator.html</span></a></p>",1,1.0000000,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+KlD49q,assessment.accelerate-people.co.uk+201014173259+W2SWGO,0,1602696779,2,2,
