id,category,parent,name,questiontext,defaultmark,penalty,quizid,questioncategoryid,israndom
435,58,0,Q01,"<p>Which of these file extensions would you apply to remove editing rights to the contents?</p>",1.0000000,0.3333333,,,y
436,58,0,Q02,"<p>Which of these file extensions are commonly associated with images?</p>",1.0000000,0.3333333,,,y
437,58,0,Q03,"<p>Which high level menu option is commonly missing from the ribbon in Word, Excel and PowerPoint, yet is always available to add?</p>",1.0000000,0.3333333,,,y
438,58,0,Q04,"<p>Which of these software products is not commonly used to analyse data?</p>",1.0000000,0.3333333,,,y
439,58,0,Q05,"<p>Dashboards, charts, and graphs are common software features used to visualise what?</p>",1.0000000,0.3333333,,,y
440,58,0,Q06,"<p>Which software is most commonly used to create slide shows?</p>",1.0000000,0.3333333,,,y
441,58,0,Q07,"<p>Which software application is more likely to be used when editing or creating a file with a .JPEG file extension?</p>",1.0000000,0.3333333,,,y
442,58,0,Q08,"<p>Which of these is a repository used to store different electronic files and allows employees and teams to access them?</p>",1.0000000,0.3333333,,,y
443,59,0,Q01,"<p>Which of these platforms is routinely used to securely share internal company information with employees?</p>",1.0000000,0.3333333,,,y
444,59,0,Q02,"<p>Which of the following is a key feature of a company SharePoint site? </p>",1.0000000,0.3333333,,,y
445,59,0,Q03,"<p>The main purpose of a company’s helpdesk software is the ability to?</p>",1.0000000,0.3333333,,,y
446,59,0,Q04,"<p>SharePoint is what type of digital information system?</p>",1.0000000,0.3333333,,,y
447,59,0,Q05,"<p>Which of the following is <strong>typically</strong> considered a secure location to share company documents?</p>",1.0000000,0.3333333,,,y
448,60,0,Q01,"<p>It is considered best practice for staff bringing their own devices to work, to connect to which network for access to the internet?  </p>",1.0000000,0.3333333,,,y
449,60,0,Q02,"<p>It is considered to be best practice to ensure that all mobile devices are updated to the latest O/S software version so that?</p>",1.0000000,0.3333333,,,y
450,60,0,Q03,"<p>When providing Wi-Fi Internet access to company visitors it is best practice to?</p>",1.0000000,0.3333333,,,y
