id,questionid,questionusageid,name,questionsummary,rightanswer,responsesummary,timemodified,state,fraction,userid,username,"from unixtime(qa.timemodified)"
2948,37,178,"1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Refer to the exhibit.In the exhibit, a correlogram is provided based ...","1.      Refer to the exhibit.
In the exhibit, a correlogram is provided based on an autocorrelation analysis of a sample dataset
[mc043-1.jpg]
What can you conclude from only this exhibit?: There is no structure left to model in the data
; Differencing is required before proceeding with any analysis; Lag 7 has a significant negative autocorrelation
; There is significant autocorrelation through lag 3
","There is significant autocorrelation through lag 3
","There is significant autocorrelation through lag 3
",1605615474,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-17 12:17:54"
3399,416,211,Q01,"Two methods of customising the ribbon in the majority of Microsoft office products can be achieved by hovering over a ribbon icon and right clicking the mouse button, which of the following is a third option?
: File/Info
; File/Account
; File
; File/Options
","File/Options
","File/Info
",1605775820,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:50:20"
3400,417,211,Q02,"Which type of software application is best suited when using numbers and formulas?
: Spreadsheets
; Images
; Documents
; Slides
","Spreadsheets
","Images
",1605775820,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:50:20"
3401,418,211,Q03,"What type of software platform is routinely used to manage interaction with customers and suppliers?
: Intranet
; CTO
; CRM
; Internet
","CRM
","CRM
",1605775820,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:50:20"
3402,419,211,Q04,"Which of these platforms does not commonly feature a single sign-on function?
: CRM
; CMS
; Internet
; Intranet
","Internet
","Internet
",1605775820,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:50:20"
3403,420,211,Q05,"Agile methodology has 4 key value statements, complete the value statement, ""Individuals and interactions over""
: Processes and positions
; Processes and tools
; Processes and teams
; Teams and techniques
","Processes and tools
","Processes and teams
",1605775820,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:50:20"
3404,421,211,Q06,"Agile methodology has 4 key value statements, complete the value statement ""Working software over""?
: Complicated rules
; Comprehensive lists
; Comprehensive documentation
; Comprehensive spreadsheets
","Comprehensive documentation
","Comprehensive lists
",1605775820,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:50:20"
3405,422,211,Q07,"A person working in finance is most likely to depend on which digital technology to perform their role?
: Instant messaging software
; Time-off management software
; Spreadsheet processing software
; Presentation software
","Spreadsheet processing software
","Time-off management software
",1605775820,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:50:20"
3406,423,211,Q08,"A formal and detailed way to ensure that new employees are aware how to access and start using an organisation’s digital tools, could be?
: FAQs
; Webinars
; Staff inductions
; How to guides
","FAQs
","Webinars
",1605775820,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:50:20"
3407,416,212,Q01,"Two methods of customising the ribbon in the majority of Microsoft office products can be achieved by hovering over a ribbon icon and right clicking the mouse button, which of the following is a third option?
: File/Info
; File/Account
; File
; File/Options
","File/Options
","File/Account
",1605775895,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:51:35"
3408,417,212,Q02,"Which type of software application is best suited when using numbers and formulas?
: Documents
; Slides
; Images
; Spreadsheets
","Spreadsheets
","Spreadsheets
",1605775895,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:51:35"
3409,418,212,Q03,"What type of software platform is routinely used to manage interaction with customers and suppliers?
: Internet
; Intranet
; CTO
; CRM
","CRM
","CRM
",1605775895,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:51:35"
3410,419,212,Q04,"Which of these platforms does not commonly feature a single sign-on function?
: Internet
; CMS
; Intranet
; CRM
","Internet
","CRM
",1605775895,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:51:35"
3411,420,212,Q05,"Agile methodology has 4 key value statements, complete the value statement, ""Individuals and interactions over""
: Teams and techniques
; Processes and teams
; Processes and positions
; Processes and tools
","Processes and tools
","Processes and tools
",1605775895,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:51:35"
3412,421,212,Q06,"Agile methodology has 4 key value statements, complete the value statement ""Working software over""?
: Comprehensive lists
; Complicated rules
; Comprehensive spreadsheets
; Comprehensive documentation
","Comprehensive documentation
","Comprehensive documentation
",1605775895,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:51:35"
3413,422,212,Q07,"A person working in finance is most likely to depend on which digital technology to perform their role?
: Spreadsheet processing software
; Presentation software
; Instant messaging software
; Time-off management software
","Spreadsheet processing software
","Time-off management software
",1605775895,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:51:35"
3414,423,212,Q08,"A formal and detailed way to ensure that new employees are aware how to access and start using an organisation’s digital tools, could be?
: Staff inductions
; FAQs
; How to guides
; Webinars
","FAQs
","Webinars
",1605775895,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:51:35"
3415,424,213,Q01,"Which of the following is NOT a social media tool?
: Facebook
; Snapchat
; GitHub
; Twitter
","GitHub
","GitHub
",1605775970,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3416,425,213,Q02,"Which of the following is a feature of diagnosing digital problems?
: Look at previous cases and history of faults.
; Physical or virtual examination of the product
; Testing functionality
; All of the above
","All of the above
","Physical or virtual examination of the product
",1605775970,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3417,426,213,Q03,"Which of the following is GOOD password management?
: Always use a simple password you can remember
; Use one single strong password for all uses
; Save your password to your PC so you do not lose it
; Change your password regularly
","Change your password regularly
","Use one single strong password for all uses
",1605775970,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3418,427,213,Q04,"What does CMS stand for?
: Content messaging system
; Computer management system
; Customer messaging system
; Content management system
","Content management system
","Computer management system
",1605775970,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3419,428,213,Q05,"Which of the following Digital Channels are BEST used to communicate with different audiences?
: Twitter
; Presentation Software
; Zero level channel
; Email
","Email
","Presentation Software
",1605775970,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3420,429,213,Q06,"Which of the following would you use a CRM system for?
: Recording Financial information
; Recording Management information
; Recording Customer Sales information
; Recording HR information
","Recording Customer Sales information
","Recording Management information
",1605775970,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3421,430,213,Q07,"When supporting a customer which of the following is BEST practice?
: Do not communicate with the customer throughout the task
; Only communicate with the customer as you log outcomes
; Maintain communication and inform the customer of the outcome once completed
; Only inform the customer when the task is complete and log the completion
","Maintain communication and inform the customer of the outcome once completed
","Only communicate with the customer as you log outcomes
",1605775970,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3422,431,213,Q08,"Which of the following SHOULD form part of an organisations code of ethics?
: By an organisation to respond to complaints
; To guide an organisations recruitment strategy
; To guide the organisation in its decisions, programs, and policies
; For organisations to inform their strategic decisions
","To guide the organisation in its decisions, programs, and policies
","To guide the organisation in its decisions, programs, and policies
",1605775970,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3423,432,213,Q09,"When would you MOST likely escalate a problem?
: When it is time to go home and the problem is not solved
; After trying to resolve the problem and you have exhausted all possible solutions
; When you cannot find the answer on the internet
; When it is something you have never encountered before
","After trying to resolve the problem and you have exhausted all possible solutions
","When you cannot find the answer on the internet
",1605775970,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3424,433,213,Q10,"Which of the following methods is BEST suited to coach or support external users with a fault?
: Create a simple user guide
; Send them an email and try to explain what they need to do
; Email their line manager to let them know they need training
; Send them the technical / manufactures documents
","Create a simple user guide
","Email their line manager to let them know they need training
",1605775970,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 08:52:50"
3425,424,214,Q01,"Which of the following is NOT a social media tool?
: Snapchat
; GitHub
; Facebook
; Twitter
","GitHub
","Snapchat
",1605777127,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 09:12:07"
3426,425,214,Q02,"Which of the following is a feature of diagnosing digital problems?
: Look at previous cases and history of faults.
; Physical or virtual examination of the product
; Testing functionality
; All of the above
","All of the above
","Physical or virtual examination of the product
",1605777127,gradedwrong,0.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 09:12:07"
3434,433,214,Q10,"Which of the following methods is BEST suited to coach or support external users with a fault?
: Email their line manager to let them know they need training
; Send them the technical / manufactures documents
; Send them an email and try to explain what they need to do
; Create a simple user guide
","Create a simple user guide
","Create a simple user guide
",1605777127,gradedright,1.0000000,4,owen@accelerate-people.co.uk,"2020-11-19 09:12:07"
3435,364,215,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1605795599,gradedright,1.0000000,9,owens,"2020-11-19 14:19:59"
3436,365,215,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Printer
",1605795599,gradedwrong,0.0000000,9,owens,"2020-11-19 14:19:59"
3450,379,215,Q16,"How can you BEST maintain current and future awareness of technologies?
: Subscribe to professional memberships
; Through continuous professional development
; Through observation of colleagues
; By having a large learning and development budget
","Through continuous professional development
","By having a large learning and development budget
",1605795599,gradedwrong,0.0000000,9,owens,"2020-11-19 14:19:59"
3451,416,216,Q01,"Two methods of customising the ribbon in the majority of Microsoft office products can be achieved by hovering over a ribbon icon and right clicking the mouse button, which of the following is a third option?
: File/Account
; File
; File/Options
; File/Info
","File/Options
","File/Account
",1605795786,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 14:23:06"
3452,417,216,Q02,"Which type of software application is best suited when using numbers and formulas?
: Images
; Documents
; Slides
; Spreadsheets
","Spreadsheets
","Images
",1605795786,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 14:23:06"
3458,423,216,Q08,"A formal and detailed way to ensure that new employees are aware how to access and start using an organisation’s digital tools, could be?
: Staff inductions
; Webinars
; How to guides
; FAQs
","FAQs
","FAQs
",1605795786,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 14:23:06"
3459,424,217,Q01,"Which of the following is NOT a social media tool?
: Snapchat
; Twitter
; GitHub
; Facebook
","GitHub
","GitHub
",1605796108,gradedright,1.0000000,9,owens,"2020-11-19 14:28:28"
3460,425,217,Q02,"Which of the following is a feature of diagnosing digital problems?
: Look at previous cases and history of faults.
; Physical or virtual examination of the product
; Testing functionality
; All of the above
","All of the above
","All of the above
",1605796108,gradedright,1.0000000,9,owens,"2020-11-19 14:28:28"
3461,426,217,Q03,"Which of the following is GOOD password management?
: Use one single strong password for all uses
; Change your password regularly
; Always use a simple password you can remember
; Save your password to your PC so you do not lose it
","Change your password regularly
","Save your password to your PC so you do not lose it
",1605796108,gradedwrong,0.0000000,9,owens,"2020-11-19 14:28:28"
3462,427,217,Q04,"What does CMS stand for?
: Content management system
; Customer messaging system
; Content messaging system
; Computer management system
","Content management system
","Content messaging system
",1605796108,gradedwrong,0.0000000,9,owens,"2020-11-19 14:28:28"
3463,428,217,Q05,"Which of the following Digital Channels are BEST used to communicate with different audiences?
: Email
; Presentation Software
; Zero level channel
; Twitter
","Email
","Twitter
",1605796108,gradedwrong,0.0000000,9,owens,"2020-11-19 14:28:28"
3464,429,217,Q06,"Which of the following would you use a CRM system for?
: Recording Financial information
; Recording HR information
; Recording Customer Sales information
; Recording Management information
","Recording Customer Sales information
","Recording HR information
",1605796108,gradedwrong,0.0000000,9,owens,"2020-11-19 14:28:28"
3465,430,217,Q07,"When supporting a customer which of the following is BEST practice?
: Only inform the customer when the task is complete and log the completion
; Maintain communication and inform the customer of the outcome once completed
; Only communicate with the customer as you log outcomes
; Do not communicate with the customer throughout the task
","Maintain communication and inform the customer of the outcome once completed
","Maintain communication and inform the customer of the outcome once completed
",1605796108,gradedright,1.0000000,9,owens,"2020-11-19 14:28:28"
3466,431,217,Q08,"Which of the following SHOULD form part of an organisations code of ethics?
: By an organisation to respond to complaints
; To guide an organisations recruitment strategy
; To guide the organisation in its decisions, programs, and policies
; For organisations to inform their strategic decisions
","To guide the organisation in its decisions, programs, and policies
","To guide the organisation in its decisions, programs, and policies
",1605796108,gradedright,1.0000000,9,owens,"2020-11-19 14:28:28"
3467,432,217,Q09,"When would you MOST likely escalate a problem?
: After trying to resolve the problem and you have exhausted all possible solutions
; When you cannot find the answer on the internet
; When it is time to go home and the problem is not solved
; When it is something you have never encountered before
","After trying to resolve the problem and you have exhausted all possible solutions
","When it is something you have never encountered before
",1605796108,gradedwrong,0.0000000,9,owens,"2020-11-19 14:28:28"
3468,433,217,Q10,"Which of the following methods is BEST suited to coach or support external users with a fault?
: Send them the technical / manufactures documents
; Send them an email and try to explain what they need to do
; Email their line manager to let them know they need training
; Create a simple user guide
","Create a simple user guide
","Create a simple user guide
",1605796108,gradedright,1.0000000,9,owens,"2020-11-19 14:28:28"
3469,364,218,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3470,365,218,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3471,366,218,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","PowerBI
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3472,367,218,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3473,368,218,Q05,"which of the following is NOT a data visualisation tool?
: Tableau
; Power BI
; Excel
; PDF
","PDF
","PDF
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3474,369,218,Q06,"Which policy or procedure would cover information security?
: HR Policy
; Finance Policy
; Information Risk Management Policy
; Safeguarding Policy
","Information Risk Management Policy
","Information Risk Management Policy
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3475,370,218,Q07,"Which of the following is a type of threat to an organisation?
: A weak password
; Not applying computer updates
; New regulations
; All of the above
","All of the above
","All of the above
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3476,371,218,Q08,"Which of the following would be the most likely reason to change your password?
: You could not access your files
; You have updated your software or applied updates
; You have been on holiday and away from your PC for two weeks
; You have had a virus on your PC
","You have had a virus on your PC
","You have had a virus on your PC
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3477,372,218,Q09,"Who should you inform if your encounter a data breach?
: Information Commissioners Office
; International Commissioners Office
; Information Compliance Office
; International Compliance Office
","Information Commissioners Office
","Information Commissioners Office
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
